X,CXCL8,MMP7,CA4,ADH1C,GUCA2A,GUCA2B,CEMIP,ZG16,CLCA4,MS4A12,CLDN1
N,6.16,1.87,9.46,9.15,10.53,7.64,4.42,11.21,11.39,9.66,4.68
T,7.16,8.82,2.90,3.98,3.42,2.70,6.01,2.56,2.57,1.52,5.93
N,3.00,6.00,13.00,14.00,13.00,10.00,6.00,14.00,14.00,14.00,6.00
T,12.00,9.00,2.00,7.00,3.00,0.00,8.00,3.00,1.00,1.00,11.00
T,11.00,13.00,6.00,7.00,3.00,0.00,10.00,1.00,10.00,4.00,11.00
T,148.13,632.97,633.92,102.99,4.67,5.12,326.35,64.77,5.14,4.70,1653.74
T,12.00,8.00,9.00,8.00,9.00,6.00,12.00,11.00,10.00,9.00,10.00
T,11.00,9.00,10.00,9.00,9.00,6.00,11.00,12.00,11.00,8.00,11.00
T,11.90,9.83,3.19,3.53,3.15,3.09,7.02,4.48,2.39,1.40,7.34
N,6.15,6.23,12.06,11.87,13.30,11.26,5.38,14.45,13.88,12.73,5.93
N,8.01,3.52,11.07,9.86,9.92,8.13,3.33,11.09,11.41,10.71,5.51
T,12.00,6.00,5.00,9.00,6.00,2.00,10.00,2.00,3.00,1.00,10.00
T,342.71,1742.27,52.59,1494.73,25.41,3.35,3934.93,259.78,26.69,13.22,1016.16
T,6.00,10.00,5.00,8.00,7.00,1.00,12.00,7.00,2.00,1.00,10.00
T,6.00,7.00,5.00,4.00,8.00,2.00,12.00,5.00,1.00,2.00,10.00
T,9.40,11.03,3.62,4.86,3.74,2.83,5.50,7.30,0.92,3.38,10.42
T,9.37,8.14,3.19,3.99,3.53,2.01,7.27,5.65,5.86,5.49,7.85
T,10.92,8.34,9.53,2.19,8.29,4.91,6.12,4.29,7.03,2.85,7.67
T,46.46,7910.93,4.53,15587.66,11.44,5.50,328.28,5.03,5.39,5.02,1299.76
T,56.11,2198.01,3.37,215.37,258.09,5.03,44.26,20.97,3.30,3.39,996.15
T,12.00,6.00,4.00,6.00,5.00,3.00,12.00,5.00,10.00,0.00,9.00
N,7.80,2.04,4.57,8.53,11.37,9.04,2.66,11.44,1.63,1.65,4.46
T,10.00,12.00,6.00,6.00,5.00,2.00,10.00,5.00,6.00,5.00,10.00
N,5.00,3.00,13.00,13.00,12.00,10.00,6.00,15.00,14.00,15.00,8.00
T,11.39,8.35,8.26,8.09,9.47,7.31,7.71,9.66,9.84,7.56,8.52
T,10.01,6.79,3.00,1.97,2.20,3.34,9.18,3.19,2.04,1.61,7.86
N,12.37,13.00,10.10,10.78,10.39,7.39,10.55,13.84,11.96,11.01,11.31
N,9.17,1.95,10.61,10.60,11.36,8.95,1.84,12.12,9.48,11.68,4.86
T,12.03,7.18,2.67,2.24,5.95,1.93,4.94,5.06,2.09,0.74,9.32
N,6.00,2.00,14.00,14.00,13.00,9.00,6.00,14.00,14.00,14.00,6.00
T,7.39,5.81,12.38,13.06,13.31,11.23,5.45,14.45,13.84,13.49,5.90
N,7.37,1.89,5.71,10.40,8.11,5.93,3.57,9.10,6.18,9.84,5.18
T,25133.50,1787.11,132.60,5253.01,220.93,14.23,2047.97,15.06,2.88,3.25,4154.57
